shipment_id,route_id,vehicle_id,planned_departure,actual_departure,planned_arrival,actual_arrival,fuel_used_litres,delay_minutes
18,R046,V020,2023-01-01 13:00:00,2023-01-01 13:02:00,2023-01-01 22:39:00,2023-01-01 22:48:00,14.73138278824603,9
19,R047,V048,2023-01-01 21:00:00,2023-01-01 21:12:00,2023-01-02 03:41:00,2023-01-02 04:01:00,59.51750345034019,20
20,R014,V019,2023-01-01 03:00:00,2023-01-01 03:15:00,2023-01-01 08:20:00,2023-01-01 08:44:00,27.335034027457596,24
21,R022,V049,2023-01-01 10:00:00,2023-01-01 10:02:00,2023-01-01 14:29:00,2023-01-01 14:29:00,21.107761759430364,0
22,R050,V004,2023-01-01 20:00:00,2023-01-01 20:15:00,2023-01-01 22:02:00,2023-01-01 22:02:00,63.1826141961398,0
23,R021,V014,2023-01-01 18:00:00,2023-01-01 18:16:00,2023-01-01 23:35:00,2023-01-01 23:35:00,98.25601387656933,0
24,R031,V011,2023-01-01 03:00:00,2023-01-01 02:56:00,2023-01-01 07:39:00,2023-01-01 08:11:00,33.94306584102507,32
25,R045,V004,2023-01-01 06:00:00,2023-01-01 05:54:00,2023-01-01 12:11:00,2023-01-01 12:13:00,79.68734821533045,2
26,R033,V005,2023-01-01 12:00:00,2023-01-01 12:08:00,2023-01-01 20:02:00,2023-01-01 21:07:00,8.182972240351466,65
27,R039,V029,2023-01-01 00:00:00,2023-01-01 00:20:00,2023-01-01 03:10:00,2023-01-01 03:35:00,70.50522284331531,25
28,R009,V012,2023-01-02 23:00:00,2023-01-02 23:19:00,2023-01-03 05:06:00,2023-01-03 05:12:00,72.62661386976232,6
29,R048,V018,2023-01-02 05:00:00,2023-01-02 05:00:00,2023-01-02 06:20:00,2023-01-02 07:51:00,92.25836238607381,91
30,R047,V042,2023-01-02 20:00:00,2023-01-02 20:19:00,2023-01-03 02:41:00,2023-01-03 02:41:00,58.55818612683442,0
31,R024,V004,2023-01-02 15:00:00,2023-01-02 14:52:00,2023-01-02 19:22:00,2023-01-02 19:22:00,89.89423089378529,0
32,R025,V015,2023-01-02 05:00:00,2023-01-02 04:54:00,2023-01-02 11:03:00,2023-01-02 11:03:00,94.68945896102602,0
33,R003,V011,2023-01-02 02:00:00,2023-01-02 02:03:00,2023-01-02 08:03:00,2023-01-02 08:40:00,35.43782628909381,37
34,R004,V003,2023-01-02 06:00:00,2023-01-02 06:05:00,2023-01-02 12:33:00,2023-01-02 12:33:00,33.4049561691033,0
35,R034,V006,2023-01-02 08:00:00,2023-01-02 08:10:00,2023-01-02 09:16:00,2023-01-02 10:09:00,38.827392609573444,53
36,R042,V024,2023-01-02 22:00:00,2023-01-02 22:19:00,2023-01-03 04:28:00,2023-01-03 04:28:00,100.81224395510118,0
37,R045,V036,2023-01-02 17:00:00,2023-01-02 17:08:00,2023-01-02 23:11:00,2023-01-02 23:24:00,85.33959679369893,13
38,R006,V003,2023-01-02 08:00:00,2023-01-02 08:13:00,2023-01-02 11:46:00,2023-01-02 11:46:00,7.1733491345695315,0
39,R038,V039,2023-01-02 16:00:00,2023-01-02 16:13:00,2023-01-02 19:19:00,2023-01-02 19:35:00,88.71093024492427,16
40,R010,V012,2023-01-02 07:00:00,2023-01-02 07:07:00,2023-01-02 16:02:00,2023-01-02 17:02:00,12.6908516983107,60
41,R037,V010,2023-01-02 11:00:00,2023-01-02 10:53:00,2023-01-02 18:22:00,2023-01-02 19:05:00,99.94106709971908,43
42,R042,V019,2023-01-02 01:00:00,2023-01-02 01:05:00,2023-01-02 07:28:00,2023-01-02 07:46:00,97.87320897687762,18
43,R033,V036,2023-01-02 12:00:00,2023-01-02 12:28:00,2023-01-02 20:02:00,2023-01-02 20:06:00,7.697411935188819,4
44,R046,V002,2023-01-02 22:00:00,2023-01-02 22:13:00,2023-01-03 07:39:00,2023-01-03 07:39:00,17.037814122994597,0
45,R010,V025,2023-01-02 13:00:00,2023-01-02 13:15:00,2023-01-02 22:02:00,2023-01-02 23:06:00,11.5236469429143,64
46,R002,V032,2023-01-03 19:00:00,2023-01-03 19:20:00,2023-01-03 22:39:00,2023-01-03 23:59:00,81.72469859542959,80
47,R020,V008,2023-01-03 11:00:00,2023-01-03 11:13:00,2023-01-03 18:48:00,2023-01-03 19:28:00,28.393847278748762,40
48,R002,V003,2023-01-03 13:00:00,2023-01-03 13:21:00,2023-01-03 16:39:00,2023-01-03 16:39:00,81.12900924002818,0
49,R016,V001,2023-01-03 02:00:00,2023-01-03 02:09:00,2023-01-03 05:29:00,2023-01-03 05:53:00,37.16589498752989,24
50,R028,V028,2023-01-03 17:00:00,2023-01-03 17:03:00,2023-01-04 00:27:00,2023-01-04 01:24:00,9.583851033019263,57
51,R049,V018,2023-01-03 10:00:00,2023-01-03 10:15:00,2023-01-03 16:17:00,2023-01-03 16:17:00,64.72788100449709,0
52,R039,V009,2023-01-03 00:00:00,2023-01-03 00:19:00,2023-01-03 03:10:00,2023-01-03 03:53:00,70.37221666306742,43
53,R016,V045,2023-01-03 20:00:00,2023-01-03 20:27:00,2023-01-03 23:29:00,2023-01-04 00:49:00,42.221486907669664,80
54,R022,V018,2023-01-03 14:00:00,2023-01-03 14:11:00,2023-01-03 18:29:00,2023-01-03 19:38:00,19.1365140944177,69
55,R039,V050,2023-01-03 21:00:00,2023-01-03 21:19:00,2023-01-04 00:10:00,2023-01-04 00:59:00,69.62744971642095,49
56,R005,V016,2023-01-03 07:00:00,2023-01-03 07:15:00,2023-01-03 11:41:00,2023-01-03 11:57:00,26.613817489609485,16
57,R034,V043,2023-01-03 10:00:00,2023-01-03 10:05:00,2023-01-03 11:16:00,2023-01-03 12:10:00,35.874393715894826,54
58,R035,V027,2023-01-03 11:00:00,2023-01-03 11:26:00,2023-01-03 15:09:00,2023-01-03 15:56:00,35.4383179682584,47
59,R013,V007,2023-01-03 12:00:00,2023-01-03 12:17:00,2023-01-03 16:17:00,2023-01-03 16:37:00,67.43430914871004,20
60,R006,V040,2023-01-03 14:00:00,2023-01-03 14:19:00,2023-01-03 17:46:00,2023-01-03 18:29:00,6.529046283620546,43
61,R028,V037,2023-01-03 01:00:00,2023-01-03 01:00:00,2023-01-03 08:27:00,2023-01-03 08:27:00,8.982515772155503,0
62,R050,V020,2023-01-03 01:00:00,2023-01-03 00:50:00,2023-01-03 03:02:00,2023-01-03 03:02:00,64.0137386583829,0
63,R030,V030,2023-01-03 16:00:00,2023-01-03 16:07:00,2023-01-03 22:19:00,2023-01-03 22:36:00,96.41216335347517,17
64,R012,V012,2023-01-03 06:00:00,2023-01-03 06:27:00,2023-01-03 15:38:00,2023-01-03 16:46:00,9.78005569311919,68
65,R050,V037,2023-01-03 03:00:00,2023-01-03 03:24:00,2023-01-03 05:02:00,2023-01-03 06:06:00,66.57700026906063,64
66,R047,V013,2023-01-03 14:00:00,2023-01-03 14:08:00,2023-01-03 20:41:00,2023-01-03 21:12:00,61.508576451269974,31
67,R026,V026,2023-01-03 12:00:00,2023-01-03 11:55:00,2023-01-03 21:34:00,2023-01-03 22:03:00,79.77545431418513,29
68,R012,V029,2023-01-03 05:00:00,2023-01-03 05:10:00,2023-01-03 14:38:00,2023-01-03 14:38:00,10.805082024314244,0
69,R047,V003,2023-01-03 06:00:00,2023-01-03 06:21:00,2023-01-03 12:41:00,2023-01-03 13:11:00,55.342265830131176,30
70,R020,V042,2023-01-03 07:00:00,2023-01-03 06:58:00,2023-01-03 14:48:00,2023-01-03 14:48:00,28.59177720323897,0
71,R016,V033,2023-01-03 15:00:00,2023-01-03 15:19:00,2023-01-03 18:29:00,2023-01-03 18:55:00,41.33698952198708,26
72,R040,V045,2023-01-03 05:00:00,2023-01-03 04:55:00,2023-01-03 10:02:00,2023-01-03 10:48:00,15.177805920497113,46
73,R017,V038,2023-01-03 20:00:00,2023-01-03 19:51:00,2023-01-04 04:51:00,2023-01-04 04:59:00,96.75439526730464,8
74,R028,V010,2023-01-03 04:00:00,2023-01-03 04:15:00,2023-01-03 11:27:00,2023-01-03 11:27:00,9.724439866063028,0
75,R021,V032,2023-01-04 06:00:00,2023-01-04 06:16:00,2023-01-04 11:35:00,2023-01-04 11:57:00,85.79874972327366,22
76,R044,V035,2023-01-04 09:00:00,2023-01-04 09:24:00,2023-01-04 14:24:00,2023-01-04 14:56:00,22.28844224487243,32
77,R023,V020,2023-01-04 13:00:00,2023-01-04 13:25:00,2023-01-04 20:42:00,2023-01-04 21:11:00,14.643105451854657,29
78,R022,V006,2023-01-04 11:00:00,2023-01-04 11:09:00,2023-01-04 15:29:00,2023-01-04 15:29:00,20.587785067632016,0
79,R030,V043,2023-01-04 16:00:00,2023-01-04 16:03:00,2023-01-04 22:19:00,2023-01-04 23:19:00,102.24599147068615,60
80,R045,V029,2023-01-04 07:00:00,2023-01-04 07:08:00,2023-01-04 13:11:00,2023-01-04 13:27:00,86.8087285866072,16
81,R020,V005,2023-01-04 11:00:00,2023-01-04 11:16:00,2023-01-04 18:48:00,2023-01-04 18:48:00,28.1498200068174,0
82,R039,V049,2023-01-04 07:00:00,2023-01-04 07:27:00,2023-01-04 10:10:00,2023-01-04 11:12:00,73.04518221624107,62
83,R029,V030,2023-01-04 21:00:00,2023-01-04 20:58:00,2023-01-04 22:20:00,2023-01-04 22:55:00,42.53927899480021,35
84,R034,V043,2023-01-04 22:00:00,2023-01-04 22:22:00,2023-01-04 23:16:00,2023-01-05 00:43:00,39.56378414048087,87
85,R037,V022,2023-01-04 06:00:00,2023-01-04 05:56:00,2023-01-04 13:22:00,2023-01-04 13:28:00,87.94290380718239,6
86,R041,V022,2023-01-04 22:00:00,2023-01-04 22:28:00,2023-01-05 02:56:00,2023-01-05 03:01:00,29.00443806982495,5
87,R048,V006,2023-01-04 08:00:00,2023-01-04 08:24:00,2023-01-04 09:20:00,2023-01-04 09:58:00,82.25824523879679,38
88,R016,V038,2023-01-04 07:00:00,2023-01-04 07:10:00,2023-01-04 10:29:00,2023-01-04 10:40:00,39.517037485379376,11
89,R038,V050,2023-01-04 10:00:00,2023-01-04 10:20:00,2023-01-04 13:19:00,2023-01-04 13:54:00,87.99536801646478,35
90,R001,V025,2023-01-04 01:00:00,2023-01-04 00:59:00,2023-01-04 06:16:00,2023-01-04 06:16:00,79.38004381488652,0
91,R016,V048,2023-01-04 06:00:00,2023-01-04 06:17:00,2023-01-04 09:29:00,2023-01-04 09:29:00,40.86285521799016,0
92,R024,V010,2023-01-04 23:00:00,2023-01-04 23:27:00,2023-01-05 03:22:00,2023-01-05 03:22:00,80.15341662624415,0
93,R009,V005,2023-01-04 06:00:00,2023-01-04 06:01:00,2023-01-04 12:06:00,2023-01-04 12:37:00,63.43571231130285,31
94,R017,V045,2023-01-04 18:00:00,2023-01-04 17:58:00,2023-01-05 02:51:00,2023-01-05 02:51:00,85.50274635993541,0
95,R040,V005,2023-01-04 17:00:00,2023-01-04 16:57:00,2023-01-04 22:02:00,2023-01-04 22:46:00,14.47400455170401,44
96,R015,V020,2023-01-05 12:00:00,2023-01-05 12:29:00,2023-01-05 13:12:00,2023-01-05 13:12:00,38.25528301432009,0
97,R006,V003,2023-01-05 13:00:00,2023-01-05 13:09:00,2023-01-05 16:46:00,2023-01-05 16:52:00,6.694127520519118,6
98,R016,V022,2023-01-05 00:00:00,2023-01-05 00:27:00,2023-01-05 03:29:00,2023-01-05 03:29:00,42.6571262761758,0
99,R039,V049,2023-01-05 22:00:00,2023-01-05 21:59:00,2023-01-06 01:10:00,2023-01-06 02:20:00,65.94068145592618,70
100,R040,V023,2023-01-05 16:00:00,2023-01-05 16:01:00,2023-01-05 21:02:00,2023-01-05 21:18:00,14.85149554613024,16
101,R048,V043,2023-01-05 20:00:00,2023-01-05 20:14:00,2023-01-05 21:20:00,2023-01-05 21:29:00,83.79371617635526,9
102,R041,V024,2023-01-05 18:00:00,2023-01-05 18:03:00,2023-01-05 22:56:00,2023-01-05 22:56:00,28.00805422730374,0
103,R043,V005,2023-01-05 16:00:00,2023-01-05 16:03:00,2023-01-05 19:22:00,2023-01-05 20:52:00,26.896876064845202,90
104,R031,V003,2023-01-05 00:00:00,2023-01-05 00:13:00,2023-01-05 04:39:00,2023-01-05 05:25:00,34.30147344270338,46
105,R004,V007,2023-01-05 23:00:00,2023-01-05 23:21:00,2023-01-06 05:33:00,2023-01-06 06:25:00,32.54864816038534,52
106,R024,V020,2023-01-05 07:00:00,2023-01-05 06:54:00,2023-01-05 11:22:00,2023-01-05 12:45:00,79.4802006386948,83
107,R030,V008,2023-01-05 11:00:00,2023-01-05 11:01:00,2023-01-05 17:19:00,2023-01-05 17:57:00,95.85849707191147,38
108,R019,V033,2023-01-05 17:00:00,2023-01-05 17:26:00,2023-01-05 19:19:00,2023-01-05 19:24:00,48.563197708489774,5
109,R018,V047,2023-01-05 05:00:00,2023-01-05 05:14:00,2023-01-05 08:17:00,2023-01-05 08:39:00,12.178305443673617,22
110,R012,V034,2023-01-05 05:00:00,2023-01-05 05:27:00,2023-01-05 14:38:00,2023-01-05 14:38:00,10.181264551234744,0
111,R025,V008,2023-01-05 12:00:00,2023-01-05 11:52:00,2023-01-05 18:03:00,2023-01-05 18:41:00,97.2691751610857,38
112,R025,V037,2023-01-05 12:00:00,2023-01-05 12:14:00,2023-01-05 18:03:00,2023-01-05 18:18:00,96.69463738162365,15
113,R025,V021,2023-01-05 20:00:00,2023-01-05 20:19:00,2023-01-06 02:03:00,2023-01-06 02:32:00,85.50670853472529,29
114,R027,V040,2023-01-05 09:00:00,2023-01-05 09:01:00,2023-01-05 17:53:00,2023-01-05 18:32:00,23.094495881773042,39
115,R048,V004,2023-01-05 14:00:00,2023-01-05 13:55:00,2023-01-05 15:20:00,2023-01-05 15:20:00,93.4663265106993,0
116,R035,V049,2023-01-05 23:00:00,2023-01-05 22:52:00,2023-01-06 03:09:00,2023-01-06 03:16:00,40.13895436927164,7
117,R007,V025,2023-01-05 21:00:00,2023-01-05 21:21:00,2023-01-06 02:15:00,2023-01-06 02:15:00,51.402284892018535,0
118,R015,V040,2023-01-05 03:00:00,2023-01-05 02:59:00,2023-01-05 04:12:00,2023-01-05 04:12:00,40.446733698614494,0
119,R010,V013,2023-01-05 11:00:00,2023-01-05 11:21:00,2023-01-05 20:02:00,2023-01-05 21:08:00,12.618019016109683,66
120,R048,V035,2023-01-05 14:00:00,2023-01-05 13:58:00,2023-01-05 15:20:00,2023-01-05 16:49:00,87.93088148394746,89
121,R039,V033,2023-01-05 00:00:00,2023-01-04 23:53:00,2023-01-05 03:10:00,2023-01-05 03:10:00,73.18750770160892,0
122,R040,V001,2023-01-05 00:00:00,2023-01-04 23:52:00,2023-01-05 05:02:00,2023-01-05 05:02:00,14.809122197956732,0
123,R001,V022,2023-01-05 16:00:00,2023-01-05 15:51:00,2023-01-05 21:16:00,2023-01-05 21:16:00,72.82694435971882,0
124,R011,V010,2023-01-05 07:00:00,2023-01-05 06:51:00,2023-01-05 15:11:00,2023-01-05 15:11:00,98.76786346110428,0
125,R042,V024,2023-01-05 03:00:00,2023-01-05 03:23:00,2023-01-05 09:28:00,2023-01-05 10:32:00,105.92663177943163,64
126,R016,V033,2023-01-05 09:00:00,2023-01-05 09:18:00,2023-01-05 12:29:00,2023-01-05 13:08:00,40.953016085567455,39
127,R036,V031,2023-01-05 07:00:00,2023-01-05 06:50:00,2023-01-05 14:28:00,2023-01-05 15:04:00,89.20362446479695,36
128,R043,V027,2023-01-06 05:00:00,2023-01-06 05:26:00,2023-01-06 08:22:00,2023-01-06 08:22:00,27.695785581408856,0
129,R044,V038,2023-01-06 01:00:00,2023-01-06 01:15:00,2023-01-06 06:24:00,2023-01-06 06:24:00,24.71850691880522,0
130,R015,V017,2023-01-06 16:00:00,2023-01-06 16:04:00,2023-01-06 17:12:00,2023-01-06 17:40:00,41.173215754004495,28
131,R017,V021,2023-01-06 03:00:00,2023-01-06 03:16:00,2023-01-06 11:51:00,2023-01-06 11:52:00,99.11226562666144,1
132,R020,V012,2023-01-06 05:00:00,2023-01-06 05:16:00,2023-01-06 12:48:00,2023-01-06 12:48:00,33.658453608288326,0
133,R011,V039,2023-01-06 04:00:00,2023-01-06 04:28:00,2023-01-06 12:11:00,2023-01-06 13:03:00,99.44835103127227,52
134,R032,V050,2023-01-06 16:00:00,2023-01-06 16:19:00,2023-01-06 17:01:00,2023-01-06 17:02:00,85.48140062945555,1
135,R017,V046,2023-01-06 02:00:00,2023-01-06 01:53:00,2023-01-06 10:51:00,2023-01-06 10:51:00,93.96507630988955,0
136,R033,V045,2023-01-06 21:00:00,2023-01-06 20:53:00,2023-01-07 05:02:00,2023-01-07 05:12:00,8.373066989227324,10
137,R031,V029,2023-01-06 06:00:00,2023-01-06 06:00:00,2023-01-06 10:39:00,2023-01-06 10:59:00,39.50419157654806,20
138,R010,V014,2023-01-06 19:00:00,2023-01-06 18:51:00,2023-01-07 04:02:00,2023-01-07 04:02:00,13.203600950886752,0
139,R046,V005,2023-01-06 03:00:00,2023-01-06 03:25:00,2023-01-06 12:39:00,2023-01-06 12:57:00,17.266559483605008,18
140,R041,V018,2023-01-06 02:00:00,2023-01-06 02:04:00,2023-01-06 06:56:00,2023-01-06 06:56:00,26.265650194650576,0
141,R050,V043,2023-01-06 21:00:00,2023-01-06 21:12:00,2023-01-06 23:02:00,2023-01-06 23:04:00,68.85801692296536,2
142,R030,V007,2023-01-06 12:00:00,2023-01-06 12:15:00,2023-01-06 18:19:00,2023-01-06 18:19:00,86.61065269810535,0
143,R026,V001,2023-01-06 21:00:00,2023-01-06 21:28:00,2023-01-07 06:34:00,2023-01-07 07:01:00,83.81649723398203,27
144,R009,V010,2023-01-06 05:00:00,2023-01-06 04:58:00,2023-01-06 11:06:00,2023-01-06 11:06:00,69.12931251290304,0
145,R036,V036,2023-01-06 05:00:00,2023-01-06 05:11:00,2023-01-06 12:28:00,2023-01-06 13:00:00,85.65298133506096,32
146,R013,V021,2023-01-07 19:00:00,2023-01-07 18:50:00,2023-01-07 23:17:00,2023-01-07 23:26:00,74.43845226693641,9
147,R020,V042,2023-01-07 13:00:00,2023-01-07 13:12:00,2023-01-07 20:48:00,2023-01-07 20:48:00,31.61035444535989,0
148,R011,V003,2023-01-07 03:00:00,2023-01-07 03:19:00,2023-01-07 11:11:00,2023-01-07 12:05:00,88.69198099822445,54
149,R035,V031,2023-01-07 10:00:00,2023-01-07 09:57:00,2023-01-07 14:09:00,2023-01-07 15:00:00,35.88250261660441,51
150,R003,V045,2023-01-07 12:00:00,2023-01-07 11:59:00,2023-01-07 18:03:00,2023-01-07 18:03:00,35.745440263314926,0
151,R009,V007,2023-01-07 18:00:00,2023-01-07 18:01:00,2023-01-08 00:06:00,2023-01-08 00:54:00,73.00810350213078,48
152,R044,V015,2023-01-07 18:00:00,2023-01-07 18:01:00,2023-01-07 23:24:00,2023-01-07 23:24:00,24.31938155198911,0
153,R046,V045,2023-01-07 02:00:00,2023-01-07 02:29:00,2023-01-07 11:39:00,2023-01-07 11:42:00,16.65199202049651,3
154,R019,V001,2023-01-07 00:00:00,2023-01-07 00:29:00,2023-01-07 02:19:00,2023-01-07 02:19:00,51.28461289737864,0
155,R003,V038,2023-01-07 21:00:00,2023-01-07 21:02:00,2023-01-08 03:03:00,2023-01-08 03:33:00,33.83597910656413,30
156,R049,V017,2023-01-07 22:00:00,2023-01-07 22:05:00,2023-01-08 04:17:00,2023-01-08 04:17:00,61.84904919258374,0
157,R004,V039,2023-01-07 07:00:00,2023-01-07 07:22:00,2023-01-07 13:33:00,2023-01-07 13:33:00,32.859058007571356,0
158,R030,V011,2023-01-07 19:00:00,2023-01-07 19:17:00,2023-01-08 01:19:00,2023-01-08 02:30:00,89.18607508224112,71
159,R017,V041,2023-01-07 20:00:00,2023-01-07 20:09:00,2023-01-08 04:51:00,2023-01-08 04:51:00,89.72450689712024,0
160,R024,V004,2023-01-07 11:00:00,2023-01-07 11:16:00,2023-01-07 15:22:00,2023-01-07 15:52:00,79.46170195710823,30
161,R050,V035,2023-01-07 08:00:00,2023-01-07 08:08:00,2023-01-07 10:02:00,2023-01-07 10:41:00,73.38721554346293,39
162,R006,V003,2023-01-07 07:00:00,2023-01-07 07:18:00,2023-01-07 10:46:00,2023-01-07 10:46:00,7.244040214776573,0
163,R031,V049,2023-01-07 04:00:00,2023-01-07 04:01:00,2023-01-07 08:39:00,2023-01-07 08:43:00,37.226516514280775,4
164,R029,V017,2023-01-07 16:00:00,2023-01-07 15:57:00,2023-01-07 17:20:00,2023-01-07 17:44:00,51.9752153008291,24
165,R040,V004,2023-01-08 10:00:00,2023-01-08 10:28:00,2023-01-08 15:02:00,2023-01-08 15:49:00,16.373539808745456,47
166,R024,V033,2023-01-08 08:00:00,2023-01-08 07:58:00,2023-01-08 12:22:00,2023-01-08 13:11:00,83.22172693994199,49
167,R039,V007,2023-01-08 03:00:00,2023-01-08 03:29:00,2023-01-08 06:10:00,2023-01-08 06:10:00,67.82323056088036,0
168,R009,V022,2023-01-08 18:00:00,2023-01-08 18:07:00,2023-01-09 00:06:00,2023-01-09 00:13:00,74.40428699821337,7
169,R029,V035,2023-01-08 03:00:00,2023-01-08 03:09:00,2023-01-08 04:20:00,2023-01-08 05:09:00,51.15352748473925,49
170,R027,V006,2023-01-08 17:00:00,2023-01-08 17:25:00,2023-01-09 01:53:00,2023-01-09 01:57:00,20.418065904185923,4
171,R048,V031,2023-01-08 07:00:00,2023-01-08 07:13:00,2023-01-08 08:20:00,2023-01-08 08:20:00,92.43388591978977,0
172,R013,V023,2023-01-08 07:00:00,2023-01-08 07:02:00,2023-01-08 11:17:00,2023-01-08 12:03:00,73.78964340422499,46
173,R009,V033,2023-01-08 16:00:00,2023-01-08 16:20:00,2023-01-08 22:06:00,2023-01-08 22:38:00,62.81759477208787,32
174,R027,V023,2023-01-08 21:00:00,2023-01-08 20:55:00,2023-01-09 05:53:00,2023-01-09 05:53:00,24.122703444075224,0
175,R016,V037,2023-01-08 16:00:00,2023-01-08 16:12:00,2023-01-08 19:29:00,2023-01-08 19:29:00,41.37024235201872,0
176,R021,V018,2023-01-08 20:00:00,2023-01-08 20:01:00,2023-01-09 01:35:00,2023-01-09 01:44:00,87.27145543250992,9
177,R018,V043,2023-01-08 16:00:00,2023-01-08 16:24:00,2023-01-08 19:17:00,2023-01-08 19:25:00,10.871028961992042,8
178,R037,V039,2023-01-08 16:00:00,2023-01-08 15:52:00,2023-01-08 23:22:00,2023-01-08 23:42:00,90.66200736983956,20
179,R041,V021,2023-01-08 10:00:00,2023-01-08 10:08:00,2023-01-08 14:56:00,2023-01-08 14:56:00,25.269388803230736,0
180,R026,V024,2023-01-08 04:00:00,2023-01-08 04:26:00,2023-01-08 13:34:00,2023-01-08 13:34:00,89.11020782070992,0
181,R029,V027,2023-01-08 13:00:00,2023-01-08 13:08:00,2023-01-08 14:20:00,2023-01-08 14:20:00,46.47523629331239,0
182,R023,V022,2023-01-08 14:00:00,2023-01-08 13:54:00,2023-01-08 21:42:00,2023-01-08 21:52:00,13.151303567471833,10
183,R008,V005,2023-01-09 12:00:00,2023-01-09 12:16:00,2023-01-09 19:27:00,2023-01-09 19:54:00,60.49626143221832,27
184,R023,V048,2023-01-09 01:00:00,2023-01-09 01:29:00,2023-01-09 08:42:00,2023-01-09 08:42:00,14.997950173652432,0
185,R018,V019,2023-01-09 07:00:00,2023-01-09 07:15:00,2023-01-09 10:17:00,2023-01-09 10:23:00,10.388587717746889,6
186,R007,V022,2023-01-09 19:00:00,2023-01-09 19:11:00,2023-01-10 00:15:00,2023-01-10 00:34:00,56.6467823166924,19
187,R039,V005,2023-01-09 18:00:00,2023-01-09 18:18:00,2023-01-09 21:10:00,2023-01-09 21:40:00,67.83194134143626,30
188,R031,V048,2023-01-09 11:00:00,2023-01-09 11:14:00,2023-01-09 15:39:00,2023-01-09 16:46:00,32.742407814259366,67
189,R006,V034,2023-01-09 22:00:00,2023-01-09 22:01:00,2023-01-10 01:46:00,2023-01-10 02:02:00,6.513989355701284,16
190,R017,V011,2023-01-09 04:00:00,2023-01-09 04:26:00,2023-01-09 12:51:00,2023-01-09 13:09:00,87.08039089070687,18
191,R040,V010,2023-01-09 01:00:00,2023-01-09 01:08:00,2023-01-09 06:02:00,2023-01-09 06:11:00,15.313009135345032,9
192,R009,V018,2023-01-09 21:00:00,2023-01-09 21:10:00,2023-01-10 03:06:00,2023-01-10 04:22:00,68.91672079697652,76
193,R031,V021,2023-01-09 15:00:00,2023-01-09 15:01:00,2023-01-09 19:39:00,2023-01-09 19:39:00,32.92268576734633,0
194,R004,V003,2023-01-09 04:00:00,2023-01-09 04:23:00,2023-01-09 10:33:00,2023-01-09 11:11:00,30.757363213608553,38
195,R004,V008,2023-01-09 17:00:00,2023-01-09 17:20:00,2023-01-09 23:33:00,2023-01-10 00:39:00,33.77207903752229,66
196,R016,V007,2023-01-09 06:00:00,2023-01-09 05:58:00,2023-01-09 09:29:00,2023-01-09 10:19:00,39.794340745185764,50
197,R026,V008,2023-01-09 11:00:00,2023-01-09 11:09:00,2023-01-09 20:34:00,2023-01-09 21:09:00,93.90477710295269,35
198,R014,V015,2023-01-09 11:00:00,2023-01-09 10:59:00,2023-01-09 16:20:00,2023-01-09 16:56:00,28.76035483115913,36
